date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,steal,1,3,21,Belgrano,Matías Moreno,-0.61,-0.23,-1.0,,,,,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,steal,1,4,17,Belgrano,Juan Ignacio Barinaga,-0.48,0.81,-1.0,,,,,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,steal,1,8,23,Central Córdoba (SE),Walter Montoya,-0.45,-0.35,-1.0,,,,,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,steal,1,12,26,Belgrano,Facundo Quignón,0.34,-0.34,-1.0,,,,,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,steal,1,14,54,Central Córdoba (SE),Rodrigo Atencio,0.18,0.2,-1.0,,,,,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,steal,1,15,37,Belgrano,Agustín Baldi,0.33,-0.59,-1.0,,,,,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,steal,1,15,36,Central Córdoba (SE),Rodrigo Atencio,0.67,0.11,-1.0,,,,,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,steal,1,20,23,Belgrano,Facundo Quignón,-0.27,-0.03,-1.0,,,,,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,steal,1,20,44,Belgrano,Esteban Rolón,0.31,0.19,-1.0,,,,,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,steal,1,20,39,Central Córdoba (SE),Rodrigo Atencio,0.4,0.24,-1.0,,,,,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,steal,1,35,4,Belgrano,Bryan Reyna,-0.31,-0.66,-1.0,,,,,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,steal,1,37,16,Central Córdoba (SE),Rodrigo Atencio,0.43,0.15,-1.0,,,,,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,steal,1,41,47,Belgrano,Facundo Quignón,-0.42,-0.5,-1.0,,,,,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,steal,2,47,42,Central Córdoba (SE),Kevin Vázquez,0.6,0.11,-1.0,,,,,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,steal,2,49,28,Belgrano,Facundo Quignón,-0.43,-0.76,-1.0,,,,,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,steal,2,50,44,Belgrano,Gerónimo Heredia,-0.42,-0.11,-1.0,,,,,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,steal,2,51,13,Belgrano,Francisco González Metilli,-0.11,-0.04,-1.0,,,,,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,steal,2,54,3,Belgrano,Francisco González Metilli,0.52,-0.76,-1.0,,,,,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,steal,2,78,7,Central Córdoba (SE),Dardo Miloc,0.3,0.17,-1.0,,,,,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,steal,2,83,29,Belgrano,Alejandro Rébola,0.11,0.78,-1.0,,,,,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,steal,2,85,18,Central Córdoba (SE),Kevin Vázquez,-0.36,-0.72,-1.0,,,,,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,steal,2,89,18,Belgrano,Santiago Longo,0.47,-0.38,-1.0,,,,,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,steal,2,96,26,Belgrano,Santiago Longo,-0.53,-0.5,-1.0,,,,,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,foul,1,1,17,Central Córdoba (SE),Tomás Molina,,,,,,,,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,foul,1,7,9,Belgrano,Juan Ignacio Barinaga,0.17,0.7,-1.0,Walter Montoya,,,,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,foul,1,9,40,Belgrano,Pablo Chavarría,0.72,-0.82,-1.0,Kevin Vázquez,,,,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,foul,1,11,35,Belgrano,Juan Ignacio Barinaga,-0.19,0.74,-1.0,Walter Montoya,,,,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,foul,1,16,6,Belgrano,Bryan Reyna,0.42,-0.24,-1.0,Kevin Vázquez,,,,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,foul,1,17,17,Belgrano,Facundo Quignón,-0.21,-0.66,-1.0,Matías Godoy,,,,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,foul,1,27,54,Belgrano,Facundo Quignón,0.19,-0.7,-1.0,Walter Montoya,,,,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,foul,1,28,48,Belgrano,Agustín Baldi,-0.52,-0.73,-1.0,Ramón Cansinos,,,,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,foul,1,35,38,Belgrano,Esteban Rolón,0.24,-0.56,-1.0,Walter Montoya,,,,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,foul,1,36,8,Belgrano,Facundo Quignón,-0.17,-0.65,-1.0,Walter Montoya,,,,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,foul,1,37,5,Belgrano,Pablo Chavarría,0.23,0.4,-1.0,Dardo Miloc,,,,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,foul,1,39,28,Central Córdoba (SE),Tomás Molina,-0.4,0.5,-1.0,Matías Moreno,,,,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,foul,1,46,27,Belgrano,Alejandro Rébola,-0.78,-0.43,-1.0,Mateo Sanabria,,,,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,foul,2,46,31,Belgrano,Francisco González Metilli,0.19,-0.66,-1.0,Tomás Molina,,,,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,foul,2,51,28,Central Córdoba (SE),Dardo Miloc,-0.35,-0.14,-1.0,Francisco González Metilli,,,,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,foul,2,56,35,Belgrano,Pablo Chavarría,-0.53,0.62,-1.0,Oscar Garrido,,,,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,foul,2,62,51,Belgrano,Matías Moreno,0.4,-0.68,-1.0,Tomás Molina,,,,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,foul,2,69,45,Belgrano,Matías Moreno,0.29,-0.49,-1.0,Florián Monzón,,,,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,foul,2,73,38,Central Córdoba (SE),Florián Monzón,0.35,-0.54,-1.0,Francisco González Metilli,,,,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,foul,2,78,9,Central Córdoba (SE),Ramón Cansinos,0.47,0.68,-1.0,Francisco González Metilli,,,,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,foul,2,81,39,Central Córdoba (SE),Santiago Laquidain,-0.27,-0.45,-1.0,Pablo Chavarría,,,,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,foul,2,82,32,Belgrano,Rafael Delgado,-0.29,0.8,-1.0,Mateo Sanabria,,,,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,foul,2,85,26,Belgrano,Francisco González Metilli,-0.52,-0.74,-1.0,Dardo Miloc,,,,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,foul,2,89,15,Central Córdoba (SE),Sebastián Valdez,0.49,-0.31,-1.0,Alejandro Rébola,,,,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,foul,2,90,23,Belgrano,Pablo Chavarría,-0.47,-0.38,-1.0,Santiago Laquidain,,,,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,foul,2,94,38,Central Córdoba (SE),Dardo Miloc,-0.35,0.26,-1.0,Pablo Chavarría,,,,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,foul,2,79,25,Belgrano,Facundo Quignón,0.26,-0.26,-1.0,Kevin Vázquez,,,,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,foul,2,72,59,Belgrano,Juan Velázquez,0.39,0.77,-1.0,Mateo Sanabria,,,,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,shot,1,2,19,Belgrano,Esteban Rolón,0.76,-0.26,-1.0,,1.0,-0.25,-1.0,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,shot,1,5,1,Central Córdoba (SE),Mateo Sanabria,-0.45,0.34,-1.0,,-0.98,0.02,-1.0,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,shot,1,6,17,Belgrano,Matías Marín,0.7,0.15,-1.0,Luis Ingolotti,0.92,-0.08,0.19,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,shot,1,11,6,Central Córdoba (SE),Mateo Sanabria,-0.5,0.39,-1.0,,-0.99,0.04,-1.0,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,shot,1,13,18,Belgrano,Facundo Quignón,0.4,-0.19,-1.0,Luis Ingolotti,0.9,-0.07,0.43,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,shot,1,21,13,Belgrano,Juan Velázquez,0.73,-0.24,-1.0,Luis Ingolotti,0.96,-0.26,0.05,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,shot,1,29,48,Central Córdoba (SE),Rodrigo Atencio,-0.5,-0.4,-1.0,,-0.99,-0.06,-1.0,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,shot,1,39,15,Central Córdoba (SE),Tomás Molina,-0.71,-0.1,-1.0,Matías Moreno,-0.92,-0.06,0.48,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,shot,1,40,53,Central Córdoba (SE),Ramón Cansinos,-0.75,0.46,-1.0,Nahuel Losada,-0.92,-0.08,0.84,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,shot,1,41,18,Central Córdoba (SE),Rodrigo Atencio,-0.71,-0.1,-1.0,,-0.99,0.02,-1.0,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,shot,1,48,18,Central Córdoba (SE),Tomás Molina,-0.74,0.0,-1.0,,-0.99,-0.03,0.14,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,shot,2,55,17,Belgrano,Pablo Chavarría,-0.78,0.05,-1.0,,-1.0,-0.21,-1.0,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,shot,2,57,50,Belgrano,Bryan Reyna,-0.77,0.04,-1.0,,-0.99,0.08,0.08,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,shot,2,64,7,Belgrano,Gerónimo Heredia,-0.78,0.11,-1.0,,-0.99,-0.07,-1.0,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,shot,2,67,44,Belgrano,Bryan Reyna,-0.75,0.42,-1.0,,-1.0,-0.07,0.82,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,shot,2,77,4,Central Córdoba (SE),Tomás Molina,0.77,0.04,-1.0,Nahuel Losada,0.94,0.04,0.16,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,shot,2,84,30,Belgrano,Mariano Troilo,-0.78,0.06,-1.0,,-0.99,-0.06,0.99,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,shot,2,84,32,Belgrano,Facundo Quignón,-0.82,-0.08,-1.0,Luis Ingolotti,-0.96,-0.06,0.16,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,shot,2,86,15,Central Córdoba (SE),Kevin Vázquez,0.33,0.29,-1.0,Gerónimo Heredia,0.45,0.22,0.16,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,shot,2,88,18,Belgrano,Pablo Chavarría,-0.71,-0.24,-1.0,Luis Ingolotti,-0.78,-0.18,0.17,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,shot,2,93,44,Central Córdoba (SE),Rodrigo Atencio,0.4,0.41,-1.0,Gerónimo Heredia,0.54,0.28,0.47,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,shot,2,82,25,Belgrano,Juan Velázquez,-0.43,0.42,-1.0,Dardo Miloc,-0.72,0.22,0.22,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,var,2,58,49,Belgrano,,,,,,,,,Revisión Gol
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,var,2,59,23,Belgrano,,,,,,,,,Gol confirmado
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,goal_kick,1,2,45,Central Córdoba (SE),Luis Ingolotti,,,,,,,,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,goal_kick,1,5,24,Belgrano,Nahuel Losada,,,,,,,,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,goal_kick,1,11,26,Belgrano,Nahuel Losada,,,,,,,,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,goal_kick,1,30,10,Belgrano,Nahuel Losada,,,,,,,,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,goal_kick,1,41,41,Belgrano,Nahuel Losada,,,,,,,,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,goal_kick,2,45,42,Central Córdoba (SE),Luis Ingolotti,,,,,,,,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,goal_kick,2,47,27,Central Córdoba (SE),Luis Ingolotti,,,,,,,,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,goal_kick,2,53,9,Central Córdoba (SE),Luis Ingolotti,,,,,,,,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,goal_kick,2,56,4,Central Córdoba (SE),Luis Ingolotti,,,,,,,,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,goal_kick,2,66,33,Central Córdoba (SE),Luis Ingolotti,,,,,,,,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,goal_kick,2,83,22,Central Córdoba (SE),Luis Ingolotti,,,,,,,,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,goal_kick,2,94,17,Belgrano,Nahuel Losada,,,,,,,,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,throw_in,1,1,53,Belgrano,Juan Ignacio Barinaga,0.72,0.98,-1.0,,0.92,0.7,-1.0,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,throw_in,1,3,25,Central Córdoba (SE),Oscar Garrido,-0.43,-0.98,-1.0,,-0.48,-0.59,-1.0,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,throw_in,1,9,4,Belgrano,Juan Velázquez,0.85,-0.67,-1.0,,0.85,-0.67,-1.0,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,throw_in,1,9,21,Belgrano,Juan Velázquez,0.77,-0.98,-1.0,,0.93,-0.66,-1.0,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,throw_in,1,11,0,Belgrano,Juan Velázquez,0.28,-0.73,-1.0,,0.28,-0.73,-1.0,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,throw_in,1,12,58,Central Córdoba (SE),Santiago Laquidain,0.78,0.97,-1.0,,0.26,0.54,-1.0,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,throw_in,1,14,45,Central Córdoba (SE),Walter Montoya,-0.28,0.98,-1.0,,0.22,0.6,-1.0,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,throw_in,1,15,31,Belgrano,Juan Ignacio Barinaga,-0.31,0.98,-1.0,,0.2,0.59,-1.0,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,throw_in,1,17,46,Central Córdoba (SE),Santiago Laquidain,0.13,0.98,-1.0,,0.39,0.48,-1.0,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,throw_in,1,18,14,Belgrano,Agustín Baldi,0.12,-0.98,-1.0,,0.42,-0.66,-1.0,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,throw_in,1,21,52,Central Córdoba (SE),Santiago Laquidain,0.51,0.99,-1.0,,0.11,0.62,-1.0,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,throw_in,1,26,42,Belgrano,Juan Ignacio Barinaga,-0.3,0.98,-1.0,,0.17,0.7,-1.0,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,throw_in,1,27,20,Belgrano,Juan Velázquez,-0.15,-0.96,-1.0,,0.36,-0.67,-1.0,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,throw_in,1,27,38,Belgrano,Agustín Baldi,0.13,-0.96,-1.0,,0.46,-0.8,-1.0,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,throw_in,1,42,32,Belgrano,Juan Velázquez,-0.41,-0.59,-1.0,,-0.41,-0.59,-1.0,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,throw_in,1,44,57,Central Córdoba (SE),Santiago Laquidain,0.3,0.98,-1.0,,0.11,0.63,-1.0,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,throw_in,2,46,56,Belgrano,Juan Ignacio Barinaga,-0.36,-0.98,-1.0,,-0.61,-0.78,-1.0,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,throw_in,2,48,0,Belgrano,Rafael Delgado,0.41,0.98,-1.0,,0.11,0.75,-1.0,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,throw_in,2,48,53,Belgrano,Rafael Delgado,0.18,1.0,-1.0,,0.25,0.56,-1.0,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,throw_in,2,49,51,Belgrano,Juan Ignacio Barinaga,-0.31,-0.97,-1.0,,-0.46,-0.62,-1.0,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,throw_in,2,50,9,Belgrano,Bryan Reyna,-0.26,0.98,-1.0,,-0.49,0.77,-1.0,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,throw_in,2,52,18,Belgrano,Rafael Delgado,-0.46,0.98,-1.0,,-0.82,0.76,-1.0,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,throw_in,2,53,58,Central Córdoba (SE),Santiago Laquidain,0.39,-0.97,-1.0,,0.61,-0.79,-1.0,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,throw_in,2,55,2,Belgrano,Rafael Delgado,-0.89,0.97,-1.0,,-0.78,0.72,-1.0,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,throw_in,2,56,6,Belgrano,Rafael Delgado,-0.36,0.98,-1.0,,-0.21,0.52,-1.0,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,throw_in,2,57,40,Central Córdoba (SE),Santiago Laquidain,-0.5,-0.96,-1.0,,-0.13,-0.74,-1.0,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,throw_in,2,60,19,Central Córdoba (SE),Santiago Laquidain,0.83,-0.96,-1.0,,0.34,-0.76,-1.0,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,throw_in,2,61,47,Belgrano,Rafael Delgado,0.38,0.97,-1.0,,0.08,0.65,-1.0,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,throw_in,2,67,28,Belgrano,Rafael Delgado,0.32,0.96,-1.0,,-0.2,0.68,-1.0,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,throw_in,2,73,25,Central Córdoba (SE),Oscar Garrido,-0.27,0.99,-1.0,,-0.23,0.54,-1.0,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,throw_in,2,75,41,Central Córdoba (SE),Santiago Laquidain,0.53,-0.96,-1.0,,0.22,-0.76,-1.0,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,throw_in,2,76,13,Belgrano,Rafael Delgado,-0.17,0.98,-1.0,,-0.5,0.75,-1.0,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,throw_in,2,76,28,Central Córdoba (SE),Oscar Garrido,-0.39,0.99,-1.0,,-0.29,0.52,-1.0,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,throw_in,2,80,30,Belgrano,Juan Ignacio Barinaga,0.6,-0.96,-1.0,,0.14,-0.76,-1.0,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,throw_in,2,80,46,Belgrano,Juan Ignacio Barinaga,0.41,-0.96,-1.0,,-0.38,-0.76,-1.0,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,throw_in,2,82,10,Central Córdoba (SE),Santiago Laquidain,-0.92,-0.97,-1.0,,-0.89,-0.7,-1.0,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,throw_in,2,95,39,Central Córdoba (SE),Dardo Miloc,-0.3,0.98,-1.0,,-0.5,0.62,-1.0,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,throw_in,2,96,36,Central Córdoba (SE),Santiago Laquidain,-0.64,-0.96,-1.0,,-0.47,-0.51,-1.0,
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,yellow,1,16,13,Belgrano,Bryan Reyna,,,,,,,,Conducta antideportiva
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,yellow,1,46,36,Belgrano,Alejandro Rébola,,,,,,,,Conducta antideportiva
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,yellow,2,51,34,Central Córdoba (SE),Dardo Miloc,,,,,,,,Conducta antideportiva
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,yellow,2,62,58,Belgrano,Matías Moreno,,,,,,,,Conducta antideportiva
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,yellow,2,70,24,Belgrano,Matías Moreno,,,,,,,,Conducta antideportiva
24-05-2024,21:15,Belgrano,Central Córdoba (SE),Argentina - Torneo Betano 2024,Julio César Villagra,yellow,2,73,44,Central Córdoba (SE),Florián Monzón,,,,,,,,Conducta antideportiva
