date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,steal,1,1,29,Argentinos Juniors,Diego Rodríguez,0.89,0.37,-1.0,,,,,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,steal,1,25,0,Argentinos Juniors,Alan Lescano,0.36,-0.18,-1.0,,,,,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,steal,1,25,6,Racing Club,Maximiliano Salas,-0.22,0.5,-1.0,,,,,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,steal,1,41,21,Argentinos Juniors,Tobías Palacio,0.93,0.57,-1.0,,,,,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,steal,1,46,32,Racing Club,Maximiliano Salas,-0.75,-0.74,-1.0,,,,,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,steal,2,46,3,Racing Club,Maximiliano Salas,0.31,-0.01,-1.0,,,,,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,steal,2,51,31,Racing Club,Agustín García Basso,0.39,0.79,-1.0,,,,,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,steal,2,53,57,Argentinos Juniors,Emiliano Viveros,0.07,-0.44,-1.0,,,,,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,steal,2,55,53,Racing Club,Agustín Almendra,0.42,0.84,-1.0,,,,,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,steal,2,61,56,Racing Club,Johan Carbonero,-0.31,0.64,-1.0,,,,,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,steal,2,67,8,Argentinos Juniors,Nicolás Oroz,-0.2,-0.68,-1.0,,,,,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,steal,2,68,5,Racing Club,Johan Carbonero,0.3,0.37,-1.0,,,,,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,steal,2,69,58,Racing Club,Juan Ignacio Nardoni,0.29,-0.47,-1.0,,,,,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,steal,2,78,22,Racing Club,Santiago Sosa,0.69,0.19,-1.0,,,,,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,steal,2,80,37,Argentinos Juniors,Leonardo Heredia,-0.02,0.67,-1.0,,,,,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,foul,1,2,43,Racing Club,Juan Ignacio Nardoni,0.35,0.68,-1.0,Ariel Gamarra,,,,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,foul,1,4,15,Racing Club,Santiago Sosa,0.26,-0.78,-1.0,Luciano Gondou,,,,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,foul,1,5,4,Racing Club,Agustín Almendra,0.43,-0.22,-1.0,Ariel Gamarra,,,,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,foul,1,9,24,Argentinos Juniors,Maximiliano Romero,,,,,,,,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,foul,1,10,14,Argentinos Juniors,Alan Lescano,0.17,-0.69,-1.0,Gabriel Rojas,,,,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,foul,1,10,55,Racing Club,Adrián Martínez,-0.11,-0.51,-1.0,Ariel Gamarra,,,,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,foul,1,14,26,Argentinos Juniors,Ariel Gamarra,0.33,0.76,-1.0,Gastón Martirena,,,,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,foul,1,15,48,Argentinos Juniors,Luciano Gondou,-0.15,-0.48,-1.0,Juan Ignacio Nardoni,,,,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,foul,1,22,9,Argentinos Juniors,Nicolás Oroz,0.72,0.74,-1.0,Gastón Martirena,,,,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,foul,1,27,24,Argentinos Juniors,Román Vega,-0.54,0.9,-1.0,Gastón Martirena,,,,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,foul,1,29,48,Racing Club,Agustín Almendra,-0.21,-0.48,-1.0,Luciano Gondou,,,,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,foul,1,31,53,Racing Club,Gabriel Rojas,-0.34,0.02,-1.0,Luciano Gondou,,,,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,foul,1,34,36,Argentinos Juniors,Román Vega,-0.05,0.86,-1.0,Maximiliano Salas,,,,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,foul,1,37,12,Argentinos Juniors,Francisco Álvarez,0.6,-0.14,-1.0,Adrián Martínez,,,,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,foul,1,42,31,Racing Club,Agustín Almendra,-0.35,-0.76,-1.0,Luciano Gondou,,,,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,foul,1,43,39,Argentinos Juniors,Thiago Santamaría,0.19,-0.82,-1.0,Johan Carbonero,,,,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,foul,1,44,36,Racing Club,Agustín García Basso,0.03,-0.85,-1.0,Luciano Gondou,,,,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,foul,2,49,38,Racing Club,Adrián Martínez,-0.67,0.24,-1.0,Francisco Álvarez,,,,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,foul,2,51,39,Argentinos Juniors,Alan Lescano,0.39,0.86,-1.0,Gabriel Rojas,,,,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,foul,2,52,35,Racing Club,Gastón Martirena,-0.61,-0.82,-1.0,Román Vega,,,,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,foul,2,54,57,Racing Club,Maximiliano Salas,-0.37,0.0,-1.0,Emiliano Viveros,,,,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,foul,2,57,45,Argentinos Juniors,Tobías Palacio,-0.26,-0.19,-1.0,Adrián Martínez,,,,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,foul,2,63,54,Argentinos Juniors,Nicolás Oroz,-0.23,0.38,-1.0,Santiago Sosa,,,,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,foul,2,65,55,Racing Club,Marco Di Césare,0.16,-0.49,-1.0,Maximiliano Romero,,,,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,foul,2,66,13,Racing Club,Gabriel Rojas,-0.24,0.77,-1.0,Alan Lescano,,,,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,foul,2,70,19,Argentinos Juniors,José María Herrera,0.33,-0.48,-1.0,Juan Ignacio Nardoni,,,,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,foul,2,72,10,Racing Club,Gabriel Rojas,-0.18,0.47,-1.0,José María Herrera,,,,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,foul,2,73,8,Racing Club,Juan Ignacio Nardoni,-0.13,0.09,-1.0,Alan Lescano,,,,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,foul,2,86,14,Racing Club,Juan Ignacio Nardoni,0.32,-0.05,-1.0,Alan Lescano,,,,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,foul,2,91,27,Argentinos Juniors,Juan José Cardozo,0.4,-0.52,-1.0,Marco Di Césare,,,,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,foul,2,72,41,Racing Club,Gastón Martirena,-0.41,-0.62,-1.0,Emiliano Viveros,,,,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,shot,1,0,12,Racing Club,Maximiliano Salas,0.46,0.42,-1.0,,0.98,-0.58,-1.0,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,shot,1,7,45,Racing Club,Agustín Almendra,0.75,-0.1,-1.0,Diego Rodríguez,0.96,0.03,0.49,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,shot,1,12,46,Racing Club,Maximiliano Salas,0.71,-0.16,-1.0,,0.99,-0.38,-1.0,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,shot,1,16,43,Racing Club,Agustín Almendra,0.72,-0.01,-1.0,Diego Rodríguez,0.99,-0.05,0.19,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,shot,1,19,12,Argentinos Juniors,Thiago Santamaría,-0.99,-0.22,-1.0,,-0.99,-0.22,-1.0,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,shot,1,21,4,Argentinos Juniors,Luciano Gondou,-0.69,-0.14,-1.0,,-0.99,0.08,-1.0,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,shot,1,19,11,Argentinos Juniors,Luciano Gondou,-0.71,-0.14,-1.0,Marco Di Césare,-0.74,-0.1,0.28,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,shot,1,23,6,Racing Club,Maximiliano Salas,0.69,0.74,-1.0,Diego Rodríguez,0.96,0.18,0.64,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,shot,1,23,44,Racing Club,Marco Di Césare,0.83,-0.43,-1.0,Diego Rodríguez,0.96,-0.04,0.24,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,shot,1,25,31,Racing Club,Gastón Martirena,0.75,0.23,-1.0,,1.0,-0.02,0.22,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,shot,1,33,27,Argentinos Juniors,Alan Lescano,-0.79,-0.04,-1.0,,-1.0,0.28,-1.0,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,shot,1,35,21,Racing Club,Johan Carbonero,0.47,-0.46,-1.0,,0.98,-0.13,0.26,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,shot,1,40,36,Racing Club,Gastón Martirena,0.55,-0.26,-1.0,Diego Rodríguez,0.99,0.02,0.4,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,shot,1,46,32,Argentinos Juniors,Francisco Álvarez,-0.76,0.04,-1.0,,-0.76,-0.58,-1.0,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,shot,1,44,45,Argentinos Juniors,Maximiliano Romero,-0.75,0.14,-1.0,Santiago Sosa,-0.79,0.07,0.24,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,shot,1,44,47,Argentinos Juniors,Gastón Verón,-0.72,0.34,-1.0,Santiago Sosa,-0.79,0.14,0.38,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,shot,1,28,0,Racing Club,Maximiliano Salas,0.75,-0.05,-1.0,Tobías Palacio,0.75,-0.08,0.09,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,shot,2,46,6,Argentinos Juniors,Emiliano Viveros,0.56,-0.3,-1.0,Agustín García Basso,0.78,-0.06,0.17,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,shot,2,53,1,Racing Club,Adrián Martínez,-0.5,-0.41,-1.0,,-0.98,-0.39,-1.0,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,shot,2,54,52,Racing Club,Johan Carbonero,-0.72,-0.18,-1.0,Diego Rodríguez,-0.8,-0.08,0.34,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,shot,2,54,55,Racing Club,Maximiliano Salas,-0.6,-0.22,-1.0,Juan José Cardozo,-0.74,-0.05,0.32,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,shot,2,62,4,Racing Club,Johan Carbonero,-0.39,0.02,-1.0,,-0.99,0.11,0.17,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,shot,2,71,40,Racing Club,Roger Martínez,-0.78,0.12,-1.0,,-0.99,-0.04,-1.0,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,shot,2,75,19,Racing Club,Gastón Martirena,-0.69,-0.4,-1.0,,-1.0,-0.22,-1.0,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,shot,2,82,59,Racing Club,Juan Fernando Quintero,-0.69,-0.53,-1.0,Román Vega,-0.71,-0.42,0.3,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,shot,2,83,43,Racing Club,Roger Martínez,-0.77,-0.04,-1.0,,-0.99,0.06,0.77,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,goal_kick,1,0,27,Argentinos Juniors,Diego Rodríguez,,,,,,,,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,goal_kick,1,6,37,Argentinos Juniors,Diego Rodríguez,,,,,,,,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,goal_kick,1,13,19,Argentinos Juniors,Diego Rodríguez,,,,,,,,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,goal_kick,1,17,30,Argentinos Juniors,Diego Rodríguez,,,,,,,,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,goal_kick,1,19,17,Racing Club,Gabriel Arias,,,,,,,,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,goal_kick,1,21,10,Racing Club,Gabriel Arias,,,,,,,,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,goal_kick,1,34,14,Racing Club,Gabriel Arias,,,,,,,,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,goal_kick,2,47,22,Argentinos Juniors,Diego Rodríguez,,,,,,,,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,goal_kick,2,53,8,Argentinos Juniors,Diego Rodríguez,,,,,,,,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,goal_kick,2,54,26,Racing Club,Gabriel Arias,,,,,,,,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,goal_kick,2,71,58,Argentinos Juniors,Diego Rodríguez,,,,,,,,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,throw_in,1,2,37,Racing Club,Gastón Martirena,0.62,0.97,-1.0,,0.48,0.66,-1.0,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,throw_in,1,5,57,Racing Club,Gastón Martirena,0.43,0.96,-1.0,,0.74,0.84,-1.0,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,throw_in,1,7,28,Argentinos Juniors,Román Vega,0.43,0.98,-1.0,,0.08,0.81,-1.0,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,throw_in,1,8,53,Racing Club,Gastón Martirena,0.66,0.97,-1.0,,0.68,0.66,-1.0,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,throw_in,1,10,47,Argentinos Juniors,Thiago Santamaría,-0.11,-0.97,-1.0,,-0.41,-0.76,-1.0,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,throw_in,1,11,26,Argentinos Juniors,Román Vega,-0.59,0.95,-1.0,,-0.73,0.39,-1.0,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,throw_in,1,13,28,Racing Club,Gastón Martirena,0.03,0.98,-1.0,,0.06,0.55,-1.0,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,throw_in,1,14,12,Racing Club,Gabriel Rojas,0.31,-0.97,-1.0,,-0.13,-0.78,-1.0,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,throw_in,1,17,53,Argentinos Juniors,Ariel Gamarra,-0.64,-0.97,-1.0,,-0.45,-0.81,-1.0,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,throw_in,1,17,58,Argentinos Juniors,Thiago Santamaría,-0.72,-0.94,-1.0,,-0.68,-0.71,-1.0,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,throw_in,1,19,52,Racing Club,Gastón Martirena,0.5,0.99,-1.0,,0.73,0.34,-1.0,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,throw_in,1,29,14,Argentinos Juniors,Román Vega,-0.2,0.96,-1.0,,0.3,0.7,-1.0,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,throw_in,1,30,13,Argentinos Juniors,Alan Lescano,-0.37,0.95,-1.0,,-0.22,0.88,-1.0,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,throw_in,1,30,48,Argentinos Juniors,Román Vega,-0.35,0.95,-1.0,,-0.67,0.85,-1.0,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,throw_in,1,31,28,Racing Club,Gastón Martirena,-0.18,0.96,-1.0,,0.31,0.65,-1.0,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,throw_in,1,35,46,Racing Club,Gabriel Rojas,0.23,-0.98,-1.0,,0.17,-0.75,-1.0,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,throw_in,1,40,55,Racing Club,Gastón Martirena,0.72,0.98,-1.0,,0.78,0.38,-1.0,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,throw_in,1,46,44,Argentinos Juniors,Thiago Santamaría,-0.37,-0.98,-1.0,,-0.06,-0.7,-1.0,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,throw_in,1,47,7,Argentinos Juniors,Román Vega,-0.5,0.98,-1.0,,-0.78,0.41,-1.0,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,throw_in,2,69,50,Racing Club,Gastón Martirena,0.76,-0.94,-1.0,,0.42,-0.72,-1.0,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,throw_in,2,85,28,Argentinos Juniors,Tobías Palacio,-0.51,0.96,-1.0,,-0.49,0.68,-1.0,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,yellow,1,37,16,Argentinos Juniors,Francisco Álvarez,,,,,,,,Sujetar al rival para impedirle avanzar
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,yellow,1,42,34,Racing Club,Agustín Almendra,,,,,,,,Conducta antideportiva
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,yellow,1,43,45,Argentinos Juniors,Thiago Santamaría,,,,,,,,Conducta antideportiva
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,yellow,1,44,39,Racing Club,Agustín García Basso,,,,,,,,Conducta antideportiva
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,yellow,2,55,12,Racing Club,Maximiliano Salas,,,,,,,,Conducta antideportiva
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,yellow,2,57,46,Racing Club,Adrián Martínez,,,,,,,,Discutir con un rival
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,yellow,2,57,51,Argentinos Juniors,Francisco Álvarez,,,,,,,,Discutir con un rival
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,yellow,2,63,59,Argentinos Juniors,Nicolás Oroz,,,,,,,,Conducta antideportiva
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,yellow,2,70,23,Argentinos Juniors,José María Herrera,,,,,,,,Conducta antideportiva
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,red,2,57,51,Argentinos Juniors,Francisco Álvarez,,,,,,,,Discutir con un rival
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,offside,1,0,35,Argentinos Juniors,Gastón Verón,-0.14,0.02,-1.0,,,,,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,offside,1,6,41,Argentinos Juniors,Luciano Gondou,-0.33,-0.36,-1.0,,,,,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,offside,1,28,18,Racing Club,Adrián Martínez,0.7,-0.74,-1.0,,,,,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,offside,1,36,15,Argentinos Juniors,Gastón Verón,-0.52,0.42,-1.0,,,,,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,offside,1,41,40,Argentinos Juniors,Gastón Verón,-0.33,0.58,-1.0,,,,,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,offside,2,74,6,Argentinos Juniors,Leonardo Heredia,0.7,0.48,-1.0,,,,,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,offside,2,76,33,Argentinos Juniors,Leonardo Heredia,0.57,-0.39,-1.0,,,,,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,offside,2,92,10,Racing Club,Gabriel Rojas,-0.58,0.89,-1.0,,,,,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,offside,2,92,28,Argentinos Juniors,Leonardo Heredia,0.4,-0.07,-1.0,,,,,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,completed_pass,1,0,4,Racing Club,Adrián Martínez,0.0,-0.01,-1.0,Agustín Almendra,-0.31,-0.03,-1.0,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,completed_pass,1,0,7,Racing Club,Agustín Almendra,-0.28,0.02,-1.0,Maximiliano Salas,0.53,0.46,-1.0,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,completed_pass,1,0,58,Racing Club,Agustín García Basso,-0.1,-0.33,-1.0,Santiago Sosa,-0.25,0.11,-1.0,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,completed_pass,1,1,1,Racing Club,Santiago Sosa,-0.3,0.04,-1.0,Marco Di Césare,-0.25,0.56,-1.0,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,completed_pass,1,1,2,Racing Club,Marco Di Césare,-0.17,0.4,-1.0,Juan Ignacio Nardoni,-0.07,0.3,-1.0,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,completed_pass,1,1,4,Racing Club,Juan Ignacio Nardoni,-0.08,0.3,-1.0,Santiago Sosa,-0.33,0.11,-1.0,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,completed_pass,1,1,5,Racing Club,Santiago Sosa,-0.38,0.02,-1.0,Gabriel Rojas,0.13,-0.91,-1.0,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,completed_pass,1,1,10,Racing Club,Gabriel Rojas,0.14,-0.89,-1.0,Agustín García Basso,-0.21,-0.74,-1.0,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,completed_pass,1,1,13,Racing Club,Agustín García Basso,-0.14,-0.71,-1.0,Gastón Martirena,0.3,0.66,-1.0,
20-05-2024,21:15,Racing Club,Argentinos Juniors,Argentina - Torneo Betano 2024,Presidente Perón,completed_pass,1,1,39,Argentinos Juniors,Diego Rodríguez,0.85,0.15,-1.0,Francisco Álvarez,0.7,-0.49,-1.0,
